"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 01 19:50:04 GMT 2022","Thu Sep 01 19:50:05 GMT 2022","20","","guru.qa.LabelTest","","guru.qa.LabelTest","testStaticLabels","Создание Issue для авторизованного пользователя",""
"passed","Thu Sep 01 19:50:05 GMT 2022","Thu Sep 01 19:50:12 GMT 2022","7467","","guru.qa.LambdaTest","","guru.qa.LambdaTest","testIssueSearch","Проверка Issue для неавторизованного пользователя",""
"passed","Thu Sep 01 19:50:12 GMT 2022","Thu Sep 01 19:50:15 GMT 2022","2545","","guru.qa.SelenideTest","","guru.qa.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Thu Sep 01 19:50:15 GMT 2022","Thu Sep 01 19:50:17 GMT 2022","2149","","guru.qa.StepsTest","","guru.qa.StepsTest","testAnnotatedStep","Проверка Issue для неавторизованного пользователя",""
